label,area,equivalent_diameter,mean_intensity-0,mean_intensity-1,mean_intensity-2,solidity
41,301.0,19.576646877473273,66.14950166112956,45.53156146179402,113.99335548172758,0.9525316455696202
42,676.0,29.33785834448333,119.53550295857988,57.05917159763314,120.34615384615384,0.9740634005763689
43,471.0,24.488687706168772,110.89384288747345,53.475583864118896,117.91082802547771,0.9691358024691358
44,453.0,24.016192740836935,103.28918322295806,55.36203090507726,121.21854304635761,0.9556962025316456
45,564.0,26.797520467958073,116.04787234042553,58.00709219858156,126.85106382978724,0.967409948542024
46,587.0,27.33846397952051,132.98637137989778,75.8160136286201,150.09710391822827,0.9591503267973857
47,234.0,17.26088217525478,86.73931623931624,47.61965811965812,109.21367521367522,0.9473684210526315
48,349.0,21.079862454783044,79.9025787965616,49.88538681948424,117.60458452722062,0.9381720430107527
49,484.0,24.824341676101277,100.84917355371901,89.3801652892562,157.48760330578511,0.9622266401590457
50,653.0,28.834448541840736,141.3813169984686,71.33843797856049,140.74425727411946,0.9659763313609467
51,418.0,23.06976657227589,108.18181818181819,91.99282296650718,154.52631578947367,0.9393258426966292
52,229.0,17.075475271404667,75.11353711790393,47.18777292576419,113.34934497816595,0.9423868312757202
53,515.0,25.60699837034026,75.14757281553398,47.302912621359226,106.1747572815534,0.9572490706319703
54,1192.0,38.95768906550174,123.36661073825503,62.74580536912752,129.8255033557047,0.9651821862348178
55,459.0,24.17471718621419,67.0239651416122,52.27450980392157,120.04139433551198,0.9483471074380165
56,637.0,28.479002615897535,142.91993720565148,83.89167974882261,158.74882260596547,0.969558599695586
57,245.0,17.66192765414112,56.38367346938775,39.42857142857143,100.88163265306123,0.9722222222222222
58,348.0,21.049640414216977,132.01724137931035,70.4367816091954,145.4655172413793,0.9560439560439561
59,266.0,18.403307281560924,89.97368421052632,50.16541353383459,116.71428571428571,0.9466192170818505
60,376.0,21.880083839428522,82.1436170212766,51.694148936170215,121.23670212765957,0.9353233830845771
61,704.0,29.93928254807644,119.97869318181819,68.33948863636364,140.65767045454547,0.9683631361760661
62,943.0,34.65061169280073,121.82290562036056,62.41145281018028,131.02651113467655,0.970164609053498
63,258.0,18.12445316531431,78.11627906976744,71.6046511627907,142.51937984496124,0.9555555555555556
64,482.0,24.77299861870477,79.02904564315352,63.27593360995851,130.64315352697096,0.964
65,584.0,27.26851470332286,78.34075342465754,44.4263698630137,109.2431506849315,0.9668874172185431
66,415.0,22.98683125324351,76.17590361445784,59.80963855421687,127.83132530120481,0.9606481481481481
67,336.0,20.683531783305643,84.33928571428571,47.29761904761905,111.18154761904762,0.9438202247191011
68,380.0,21.996159369293583,69.80526315789474,54.87105263157895,121.3,0.9595959595959596
69,352.0,21.17026971360491,70.98011363636364,72.8125,136.2215909090909,0.946236559139785
70,678.0,29.381225490616288,146.19911504424778,94.17846607669617,168.9513274336283,0.9671897289586305
71,600.0,27.63953195770684,103.22,52.125,117.07833333333333,0.9630818619582665
72,292.0,19.281751659604673,98.62328767123287,80.76027397260275,159.47602739726028,0.9636963696369637
73,305.0,19.706294962377495,79.82622950819672,49.71147540983606,119.91475409836066,0.941358024691358
74,316.0,20.0585068271871,69.1613924050633,43.05696202531646,110.68987341772151,0.9604863221884499
